;;;;;;;;;;;;;;;
II.1.2 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2022 (continuação);;;;;;;;;;;;;;;
II.1.2 - Resident population by municipality and according to age groups and sex on 31/12/2022 (continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;25-64 anos;;;65 e mais anos;;;;;;;;;;;
;HM;H;M;Total;;;75 e mais anos;;;;;Desagregação Territorial;;;
;;;;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Figueiró dos Vinhos;  2 465;  1 231;  1 234;  1 850;   787;  1 063;   941;   349;   592;;16F1008;;;;x
Leiria;  69 630;  33 811;  35 819;  30 029;  13 280;  16 749;  14 644;  6 049;  8 595;;16F1009;;;;x
Marinha Grande;  21 146;  10 367;  10 779;  9 447;  4 280;  5 167;  4 490;  1 975;  2 515;;16F1010;;;;x
Pedrógão Grande;  1 682;   835;   847;  1 241;   551;   690;   651;   249;   402;;16F1013;;;;x
Pombal;  25 113;  12 304;  12 809;  15 071;  6 584;  8 487;  7 986;  3 226;  4 760;;16F1015;;;;x
Porto de Mós;  12 175;  6 051;  6 124;  5 966;  2 637;  3 329;  3 108;  1 269;  1 839;;16F1016;;;;x
   Viseu Dão Lafões;  125 659;  60 507;  65 152;  73 310;  31 988;  41 322;  37 484;  15 166;  22 318;;16G;;;x;
Aguiar da Beira;  2 395;  1 168;  1 227;  2 015;   855;  1 160;  1 092;   433;   659;;16G0901;;;;x
Carregal do Sal;  4 263;  2 061;  2 202;  2 932;  1 262;  1 670;  1 508;   615;   893;;16G1802;;;;x
Castro Daire;  6 502;  3 242;  3 260;  4 512;  1 945;  2 567;  2 328;   924;  1 404;;16G1803;;;;x
Mangualde;  8 962;  4 368;  4 594;  5 504;  2 455;  3 049;  2 804;  1 136;  1 668;;16G1806;;;;x
Nelas;  6 212;  2 983;  3 229;  4 099;  1 741;  2 358;  2 107;   828;  1 279;;16G1809;;;;x
Oliveira de Frades;  5 009;  2 454;  2 555;  2 428;  1 053;  1 375;  1 238;   483;   755;;16G1810;;;;x
Penalva do Castelo;  3 302;  1 643;  1 659;  2 578;  1 128;  1 450;  1 415;   589;   826;;16G1811;;;;x
Santa Comba Dão;  5 085;  2 448;  2 637;  3 536;  1 578;  1 958;  1 852;   776;  1 076;;16G1814;;;;x
São Pedro do Sul;  7 047;  3 487;  3 560;  5 037;  2 162;  2 875;  2 582;  1 032;  1 550;;16G1816;;;;x
Sátão;  5 309;  2 581;  2 728;  3 455;  1 523;  1 932;  1 824;   727;  1 097;;16G1817;;;;x
Tondela;  12 351;  5 960;  6 391;  8 316;  3 626;  4 690;  4 407;  1 793;  2 614;;16G1821;;;;x
Vila Nova de Paiva;  2 242;  1 087;  1 155;  1 546;   687;   859;   803;   305;   498;;16G1822;;;;x
Viseu;  52 256;  24 695;  27 561;  24 315;  10 682;  13 633;  11 870;  4 854;  7 016;;16G1823;;;;x
Vouzela;  4 724;  2 330;  2 394;  3 037;  1 291;  1 746;  1 654;   671;   983;;16G1824;;;;x
   Beira Baixa;  38 574;  19 028;  19 546;  27 176;  11 901;  15 275;  14 908;  5 970;  8 938;;16H;;;x;
Castelo Branco;  26 381;  12 705;  13 676;  15 096;  6 641;  8 455;  7 761;  3 138;  4 623;;16H0502;;;;x
Idanha-a-Nova;  3 479;  1 802;  1 677;  3 507;  1 509;  1 998;  2 132;   841;  1 291;;16H0505;;;;x
Oleiros;  2 041;  1 050;   991;  2 244;   972;  1 272;  1 300;   511;   789;;16H0506;;;;x
Penamacor;  2 032;  1 079;   953;  2 094;   935;  1 159;  1 285;   527;   758;;16H0507;;;;x
Proença-a-Nova;  3 217;  1 682;  1 535;  2 719;  1 186;  1 533;  1 492;   572;   920;;16H0508;;;;x
Vila Velha de Ródão;  1 424;   710;   714;  1 516;   658;   858;   938;   381;   557;;16H0511;;;;x
   Médio Tejo;  114 326;  56 044;  58 282;  67 515;  28 636;  38 879;  35 920;  13 807;  22 113;;16I;;;x;
Abrantes;  16 472;  8 212;  8 260;  10 695;  4 574;  6 121;  5 615;  2 214;  3 401;;16I1401;;;;x
Alcanena;  6 176;  3 046;  3 130;  3 643;  1 569;  2 074;  1 850;   737;  1 113;;16I1402;;;;x
Constância;  1 999;   972;  1 027;   968;   403;   565;   501;   184;   317;;16I1408;;;;x
Entroncamento;  11 397;  5 433;  5 964;  4 476;  1 908;  2 568;  2 369;   926;  1 443;;16I1410;;;;x
Ferreira do Zêzere;  3 762;  1 861;  1 901;  2 529;  1 074;  1 455;  1 370;   527;   843;;16I1411;;;;x
Mação;  2 776;  1 448;  1 328;  2 638;  1 114;  1 524;  1 642;   629;  1 013;;16I1413;;;;x
Ourém;  22 930;  11 217;  11 713;  12 248;  5 084;  7 164;  6 544;  2 405;  4 139;;16I1421;;;;x
Sardoal;  1 796;   913;   883;  1 119;   461;   658;   592;   211;   381;;16I1417;;;;x
Sertã;  7 133;  3 529;  3 604;  4 720;  2 079;  2 641;  2 554;   991;  1 563;;16I0509;;;;x
Tomar;  17 698;  8 584;  9 114;  11 325;  4 743;  6 582;  5 847;  2 245;  3 602;;16I1418;;;;x
Torres Novas;  16 953;  8 274;  8 679;  9 833;  4 211;  5 622;  5 136;  2 020;  3 116;;16I1419;;;;x
Vila de Rei;  1 466;   717;   749;  1 311;   553;   758;   809;   292;   517;;16I0510;;;;x
Vila Nova da Barquinha;  3 768;  1 838;  1 930;  2 010;   863;  1 147;  1 091;   426;   665;;16I1420;;;;x
   Beiras e Serra da Estrela;  99 918;  49 443;  50 475;  69 845;  30 212;  39 633;  37 044;  14 513;  22 531;;16J;;;x;
Almeida;  2 432;  1 245;  1 187;  2 516;  1 062;  1 454;  1 481;   563;   918;;16J0902;;;;x
Belmonte;  3 023;  1 515;  1 508;  2 007;   881;  1 126;  1 111;   441;   670;;16J0501;;;;x
Celorico da Beira;  2 973;  1 456;  1 517;  2 346;  1 042;  1 304;  1 292;   514;   778;;16J0903;;;;x
Covilhã;  22 831;  11 265;  11 566;  14 129;  6 085;  8 044;  6 987;  2 683;  4 304;;16J0503;;;;x
Figueira de Castelo Rodrigo;  2 207;  1 091;  1 116;  1 921;   834;  1 087;  1 091;   425;   666;;16J0904;;;;x
Fornos de Algodres;  2 017;   998;  1 019;  1 568;   647;   921;   920;   333;   587;;16J0905;;;;x
Fundão;  12 731;  6 368;  6 363;  8 729;  3 797;  4 932;  4 624;  1 818;  2 806;;16J0504;;;;x
Gouveia;  5 330;  2 592;  2 738;  4 704;  2 057;  2 647;  2 557;  1 015;  1 542;;16J0906;;;;x
Guarda;  21 035;  10 277;  10 758;  10 346;  4 466;  5 880;  5 166;  2 023;  3 143;;16J0907;;;;x
Manteigas;  1 293;   637;   656;  1 120;   478;   642;   561;   221;   340;;16J0908;;;;x
Mêda;  2 042;  1 035;  1 007;  1 770;   759;  1 011;  1 002;   397;   605;;16J0909;;;;x
Pinhel;  3 512;  1 785;  1 727;  3 092;  1 341;  1 751;  1 743;   703;  1 040;;16J0910;;;;x
Sabugal;  4 599;  2 348;  2 251;  5 019;  2 179;  2 840;  2 955;  1 145;  1 810;;16J0911;;;;x
Seia;  10 071;  4 896;  5 175;  7 528;  3 300;  4 228;  3 838;  1 555;  2 283;;16J0912;;;;x
Trancoso;  3 822;  1 935;  1 887;  3 050;  1 284;  1 766;  1 716;   677;  1 039;;16J0913;;;;x
  A. M. Lisboa; 1 529 316;  727 571;  801 745;  640 961;  267 791;  373 170;  317 188;  125 295;  191 893;;170;;x;x;
Alcochete;  10 643;  5 138;  5 505;  3 575;  1 579;  1 996;  1 751;   739;  1 012;;1701502;;;;x
Almada;  91 600;  43 273;  48 327;  43 384;  18 348;  25 036;  21 980;  8 804;  13 176;;1701503;;;;x
Amadora;  91 733;  42 930;  48 803;  39 563;  16 202;  23 361;  19 865;  7 737;  12 128;;1701115;;;;x
Barreiro;  39 760;  18 855;  20 905;  20 346;  8 574;  11 772;  10 393;  4 295;  6 098;;1701504;;;;x
Cascais;  109 706;  51 227;  58 479;  50 001;  20 791;  29 210;  24 551;  9 710;  14 841;;1701105;;;;x
