;;;;;;;;;;;;;;;
II.1.3 - Movimento da população e população estrangeira por município, 2022 (continua);;;;;;;;;;;;;;;
II.1.3 - Population changes and foreign population by municipality, 2022 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Nados-vivos;;;;;Óbitos;;;;;;;;;
;Total;;;Fora do casamento;;Total;;;"Com 
menos
de 1 ano";;;Desagregação Territorial;;;
;HM;H;M;Total;Com coabitação dos pais;HM;H;M;;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Coimbra;  1 042;   538;   504;   577;   491;  1 633;   801;   832;   1;;16E0603;;;;x
Condeixa-a-Nova;   127;   70;   57;   69;   65;   189;   81;   108;0;;16E0604;;;;x
Figueira da Foz;   384;   207;   177;   253;   207;   840;   428;   412;   2;;16E0605;;;;x
Góis;   15;   9;   6;   11;   11;   81;   33;   48;0;;16E0606;;;;x
Lousã;   109;   62;   47;   69;   60;   183;   86;   97;   1;;16E0607;;;;x
Mealhada;   121;   58;   63;   71;   62;   243;   122;   121;   1;;16E0111;;;;x
Mira;   90;   50;   40;   52;   40;   176;   84;   92;0;;16E0608;;;;x
Miranda do Corvo;   74;   39;   35;   53;   50;   192;   90;   102;0;;16E0609;;;;x
Montemor-o-Velho;   174;   109;   65;   93;   76;   341;   174;   167;0;;16E0610;;;;x
Mortágua;   57;   31;   26;   38;   30;   150;   76;   74;0;;16E1808;;;;x
Oliveira do Hospital;   132;   65;   67;   88;   74;   315;   152;   163;0;;16E0611;;;;x
Pampilhosa da Serra;   17;   10;   7;   11;   11;   101;   41;   60;   1;;16E0612;;;;x
Penacova;   58;   24;   34;   36;   30;   213;   95;   118;0;;16E0613;;;;x
Penela;   41;   22;   19;   24;   21;   90;   44;   46;0;;16E0614;;;;x
Soure;   90;   42;   48;   51;   41;   307;   152;   155;0;;16E0615;;;;x
Tábua;   63;   34;   29;   41;   36;   147;   76;   71;0;;16E0616;;;;x
Vila Nova de Poiares;   52;   24;   28;   26;   22;   104;   51;   53;0;;16E0617;;;;x
   Região de Leiria;  2 157;  1 063;  1 094;  1 303;  1 097;  3 510;  1 758;  1 752;   7;;16F;;;x;
Alvaiázere;   23;   7;   16;   17;   14;   120;   65;   55;0;;16F1002;;;;x
Ansião;   68;   34;   34;   45;   36;   174;   89;   85;   1;;16F1003;;;;x
Batalha;   114;   54;   60;   68;   61;   170;   74;   96;0;;16F1004;;;;x
Castanheira de Pêra;   6;   3;   3;   5;   5;   53;   34;   19;0;;16F1007;;;;x
Figueiró dos Vinhos;   23;   10;   13;   10;   7;   123;   52;   71;0;;16F1008;;;;x
Leiria;  1 114;   546;   568;   631;   532;  1 294;   668;   626;   5;;16F1009;;;;x
Marinha Grande;   299;   156;   143;   191;   157;   467;   232;   235;0;;16F1010;;;;x
Pedrógão Grande;   15;   8;   7;   10;   7;   74;   34;   40;0;;16F1013;;;;x
Pombal;   347;   165;   182;   230;   199;   731;   368;   363;   1;;16F1015;;;;x
Porto de Mós;   148;   80;   68;   96;   79;   304;   142;   162;0;;16F1016;;;;x
   Viseu Dão Lafões;  1 633;   842;   791;   920;   744;  3 672;  1 800;  1 872;0;;16G;;;x;
Aguiar da Beira;   28;   15;   13;   17;   14;   130;   69;   61;0;;16G0901;;;;x
Carregal do Sal;   60;   32;   28;   38;   32;   105;   55;   50;0;;16G1802;;;;x
Castro Daire;   60;   27;   33;   34;   29;   220;   102;   118;0;;16G1803;;;;x
Mangualde;   121;   59;   62;   76;   63;   286;   140;   146;0;;16G1806;;;;x
Nelas;   79;   45;   34;   46;   39;   199;   97;   102;0;;16G1809;;;;x
Oliveira de Frades;   71;   34;   37;   43;   33;   141;   68;   73;0;;16G1810;;;;x
Penalva do Castelo;   32;   21;   11;   19;   15;   141;   72;   69;0;;16G1811;;;;x
Santa Comba Dão;   60;   30;   30;   44;   34;   178;   77;   101;0;;16G1814;;;;x
São Pedro do Sul;   70;   30;   40;   30;   23;   251;   125;   126;0;;16G1816;;;;x
Sátão;   77;   43;   34;   38;   32;   166;   75;   91;0;;16G1817;;;;x
Tondela;   166;   85;   81;   92;   76;   452;   231;   221;0;;16G1821;;;;x
Vila Nova de Paiva;   22;   13;   9;   14;   8;   75;   37;   38;0;;16G1822;;;;x
Viseu;   735;   380;   355;   405;   325;  1 169;   565;   604;0;;16G1823;;;;x
Vouzela;   52;   28;   24;   24;   21;   159;   87;   72;0;;16G1824;;;;x
   Beira Baixa;   538;   274;   264;   349;   274;  1 477;   749;   728;   1;;16H;;;x;
Castelo Branco;   396;   203;   193;   250;   202;   793;   398;   395;   1;;16H0502;;;;x
Idanha-a-Nova;   39;   18;   21;   27;   20;   214;   108;   106;0;;16H0505;;;;x
Oleiros;   25;   11;   14;   15;   10;   127;   69;   58;0;;16H0506;;;;x
Penamacor;   25;   16;   9;   20;   15;   122;   65;   57;0;;16H0507;;;;x
Proença-a-Nova;   34;   16;   18;   23;   17;   144;   68;   76;0;;16H0508;;;;x
Vila Velha de Ródão;   19;   10;   9;   14;   10;   77;   41;   36;0;;16H0511;;;;x
   Médio Tejo;  1 458;   761;   697;   895;   710;  3 634;  1 725;  1 909;   4;;16I;;;x;
Abrantes;   196;   103;   93;   141;   110;   639;   297;   342;0;;16I1401;;;;x
Alcanena;   77;   43;   34;   50;   35;   179;   99;   80;0;;16I1402;;;;x
Constância;   24;   8;   16;   17;   16;   50;   24;   26;0;;16I1408;;;;x
Entroncamento;   148;   85;   63;   82;   67;   230;   110;   120;0;;16I1410;;;;x
Ferreira do Zêzere;   47;   30;   17;   23;   20;   146;   68;   78;0;;16I1411;;;;x
Mação;   22;   7;   15;   16;   11;   165;   86;   79;0;;16I1413;;;;x
Ourém;   319;   156;   163;   172;   135;   628;   281;   347;   1;;16I1421;;;;x
Sardoal;   17;   10;   7;   11;   11;   66;   34;   32;0;;16I1417;;;;x
Sertã;   89;   50;   39;   51;   46;   227;   110;   117;0;;16I0509;;;;x
Tomar;   215;   110;   105;   145;   112;   622;   287;   335;   1;;16I1418;;;;x
Torres Novas;   222;   115;   107;   135;   104;   511;   251;   260;   1;;16I1419;;;;x
Vila de Rei;   26;   13;   13;   12;   12;   83;   33;   50;0;;16I0510;;;;x
Vila Nova da Barquinha;   56;   31;   25;   40;   31;   88;   45;   43;   1;;16I1420;;;;x
   Beiras e Serra da Estrela;  1 150;   617;   533;   719;   605;  3 739;  1 811;  1 928;   5;;16J;;;x;
Almeida;   20;   9;   11;   16;   14;   153;   72;   81;0;;16J0902;;;;x
Belmonte;   48;   32;   16;   30;   27;   105;   51;   54;   1;;16J0501;;;;x
Celorico da Beira;   39;   14;   25;   31;   25;   104;   55;   49;0;;16J0903;;;;x
Covilhã;   292;   142;   150;   193;   164;   723;   350;   373;   2;;16J0503;;;;x
Figueira de Castelo Rodrigo;   33;   22;   11;   21;   17;   102;   49;   53;0;;16J0904;;;;x
Fornos de Algodres;   21;   10;   11;   9;   6;   98;   51;   47;0;;16J0905;;;;x
Fundão;   154;   87;   67;   95;   80;   461;   237;   224;0;;16J0504;;;;x
Gouveia;   62;   38;   24;   42;   31;   256;   114;   142;0;;16J0906;;;;x
Guarda;   249;   134;   115;   150;   122;   509;   241;   268;   1;;16J0907;;;;x
Manteigas;   14;   6;   8;   10;   9;   64;   29;   35;0;;16J0908;;;;x
Mêda;   14;   11;   3;   7;   5;   83;   44;   39;0;;16J0909;;;;x
Pinhel;   30;   15;   15;   12;   11;   178;   100;   78;0;;16J0910;;;;x
Sabugal;   46;   24;   22;   35;   29;   323;   143;   180;0;;16J0911;;;;x
Seia;   87;   48;   39;   49;   47;   413;   188;   225;   1;;16J0912;;;;x
Trancoso;   41;   25;   16;   19;   18;   167;   87;   80;0;;16J0913;;;;x
  A. M. Lisboa;  28 319;  14 495;  13 824;  17 586;  12 018;  31 471;  15 542;  15 929;   75;;170;;x;x;
Alcochete;   160;   77;   83;   97;   66;   183;   95;   88;   1;;1701502;;;;x
Almada;  1 712;   861;   851;  1 087;   737;  2 235;  1 092;  1 143;   5;;1701503;;;;x
Amadora;  1 850;   946;   904;  1 257;   753;  1 784;   936;   848;   7;;1701115;;;;x
Barreiro;   722;   390;   332;   493;   346;  1 011;   507;   504;   3;;1701504;;;;x
