;;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2022 (continua);;;;;;;;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2022 (to be continued);;;;;;;;;;;;;;;;;;;;;;;;;;
;Densidade populacional ;Taxa de crescimento efetivo;Taxa de crescimento natural;Taxa de crescimento migratório;Taxa bruta de natalidade;Taxa bruta de mortalidade;Taxa bruta de nupcialidade;Taxa bruta de divórcio;Taxa de fecundidade geral;Taxa de fecundidade na adolescência;Índice sintético de fecundidade;Mulheres em idade fértil na população residente feminina;Nados-vivos fora do casamento;Proporção de casamentos católicos; ;;Desagregação Territorial;;;;;;Desagregação Territorial;;;
;N.º/km2;%;;;‰;;;;;;N.º;%;;;;NUTS_2013;NUTS I;NUTS II;NUTS III;Município;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Mogadouro;  10,8;-  0,57;-0,98;  0,41;  4,7;  14,5;  2,8;  1,9;  32,2;x;x;  28,4;  56,4;  56,5;;11E0408;;;;x;;11E0408;;;;x
Vila Flor;  22,7;-  0,48;-1,41;  0,93;  5,6;  19,7;  2,6;  1,3;  34,3;x;x;  32,2;  76,5;  31,3;;11E0410;;;;x;;11E0410;;;;x
Vimioso;  8,6;  0,12;-1,79;  1,91;  4,8;  22,7;  1,4;  1,2;  36,0;x;x;  26,9;  70,0;  0,0;;11E0411;;;;x;;11E0411;;;;x
Vinhais;  10,8;-  1,47;-1,86;  0,40;  4,5;  23,1;  1,1;  1,2;  36,2;x;x;  24,8;  76,5;  62,5;;11E0412;;;;x;;11E0412;;;;x
  Centro;  80,0;  0,17;-0,68;  0,85;  7,0;  13,7;  3,4;  1,7;  35,5;  5,8;  1,37;  37,5;  60,9;  32,0;;16;;x;;;;16;;x;;
   Oeste;  169,8;  1,23;-0,46;  1,69;  8,0;  12,6;  4,4;  1,7;  38,7;  6,3;  1,50;  39,9;  65,4;  25,7;;16B;;;x;;;16B;;;x;
Alcobaça;  137,3;  0,53;-0,50;  1,03;  7,8;  12,8;  3,6;  1,8;  40,1;x;x;  37,6;  65,2;  33,7;;16B1001;;;;x;;16B1001;;;;x
Alenquer;  153,6;  1,82;-0,15;  1,97;  8,5;  10,0;  4,6;  1,8;  37,9;x;x;  43,5;  60,7;  17,6;;16B1101;;;;x;;16B1101;;;;x
Arruda dos Vinhos;  190,5;  2,90;-0,20;  3,10;  8,9;  10,9;  5,5;  1,8;  39,6;x;x;  44,0;  68,5;  22,8;;16B1102;;;;x;;16B1102;;;;x
Bombarral;  147,8;  1,94;-0,65;  2,59;  7,4;  13,9;  4,6;  2,2;  37,5;x;x;  38,1;  62,6;  0,0;;16B1005;;;;x;;16B1005;;;;x
