;;;;;;;;;;;;;;;
II.1.2 - População residente por município, segundo os grandes grupos etários e o sexo em 31/12/2022 (continua);;;;;;;;;;;;;;;
II.1.2 - Resident population by municipality and according to age groups and sex on 31/12/2022 (to be continued);;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;Unit: No.;;;;;;
;Total;;;0 a 14 anos;;;15 a 24 anos;;;;;Desagregação Territorial;;;
;HM;H;M;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Nazaré;  15 119;  7 240;  7 879;  1 924;   962;   962;  1 425;   732;   693;;16B1011;;;;x
Óbidos;  12 776;  6 270;  6 506;  1 601;   809;   792;  1 230;   654;   576;;16B1012;;;;x
Peniche;  26 849;  12 930;  13 919;  3 615;  1 871;  1 744;  2 698;  1 391;  1 307;;16B1014;;;;x
Sobral de Monte Agraço;  11 450;  5 570;  5 880;  1 705;   864;   841;  1 291;   638;   653;;16B1112;;;;x
Torres Vedras;  85 806;  41 737;  44 069;  11 424;  5 837;  5 587;  9 097;  4 622;  4 475;;16B1113;;;;x
   Região de Aveiro;  375 698;  180 836;  194 862;  47 582;  24 519;  23 063;  37 779;  19 167;  18 612;;16D;;;x;
Águeda;  46 495;  22 414;  24 081;  5 626;  2 931;  2 695;  4 446;  2 181;  2 265;;16D0101;;;;x
Albergaria-a-Velha;  25 241;  12 336;  12 905;  3 179;  1 620;  1 559;  2 632;  1 351;  1 281;;16D0102;;;;x
Anadia;  27 819;  13 348;  14 471;  3 001;  1 571;  1 430;  2 567;  1 328;  1 239;;16D0103;;;;x
Aveiro;  83 508;  39 945;  43 563;  10 907;  5 621;  5 286;  8 407;  4 225;  4 182;;16D0105;;;;x
Estarreja;  26 634;  12 972;  13 662;  3 361;  1 740;  1 621;  2 671;  1 382;  1 289;;16D0108;;;;x
Ílhavo;  40 813;  19 511;  21 302;  5 510;  2 791;  2 719;  4 159;  2 114;  2 045;;16D0110;;;;x
Murtosa;  10 705;  5 198;  5 507;  1 425;   742;   683;  1 106;   567;   539;;16D0112;;;;x
Oliveira do Bairro;  24 147;  11 538;  12 609;  3 304;  1 707;  1 597;  2 523;  1 258;  1 265;;16D0114;;;;x
Ovar;  55 744;  26 818;  28 926;  7 001;  3 584;  3 417;  5 831;  2 995;  2 836;;16D0115;;;;x
Sever do Vouga;  10 906;  5 311;  5 595;  1 119;   579;   540;  1 070;   582;   488;;16D0117;;;;x
Vagos;  23 686;  11 445;  12 241;  3 149;  1 633;  1 516;  2 367;  1 184;  1 183;;16D0118;;;;x
   Região de Coimbra;  439 940;  208 608;  231 332;  50 080;  25 780;  24 300;  41 214;  21 077;  20 137;;16E;;;x;
Arganil;  11 130;  5 325;  5 805;  1 161;   579;   582;   872;   439;   433;;16E0601;;;;x
Cantanhede;  34 370;  16 302;  18 068;  3 912;  2 018;  1 894;  3 151;  1 608;  1 543;;16E0602;;;;x
Coimbra;  142 252;  66 541;  75 711;  16 863;  8 665;  8 198;  13 518;  6 778;  6 740;;16E0603;;;;x
Condeixa-a-Nova;  17 164;  8 077;  9 087;  2 302;  1 190;  1 112;  1 765;   908;   857;;16E0604;;;;x
Figueira da Foz;  59 348;  28 214;  31 134;  6 606;  3 431;  3 175;  5 615;  2 885;  2 730;;16E0605;;;;x
Góis;  3 762;  1 764;  1 998;   293;   129;   164;   328;   174;   154;;16E0606;;;;x
Lousã;  17 186;  8 332;  8 854;  2 172;  1 168;  1 004;  1 871;   982;   889;;16E0607;;;;x
Mealhada;  19 568;  9 375;  10 193;  2 198;  1 117;  1 081;  1 963;  1 032;   931;;16E0111;;;;x
Mira;  12 253;  5 877;  6 376;  1 443;   759;   684;  1 055;   574;   481;;16E0608;;;;x
Miranda do Corvo;  12 021;  5 815;  6 206;  1 257;   625;   632;  1 223;   662;   561;;16E0609;;;;x
Montemor-o-Velho;  24 697;  11 924;  12 773;  3 080;  1 616;  1 464;  2 178;  1 140;  1 038;;16E0610;;;;x
Mortágua;  8 922;  4 290;  4 632;   863;   430;   433;   688;   366;   322;;16E1808;;;;x
Oliveira do Hospital;  19 301;  9 275;  10 026;  2 120;  1 110;  1 010;  1 849;   959;   890;;16E0611;;;;x
Pampilhosa da Serra;  4 048;  1 921;  2 127;   266;   136;   130;   232;   114;   118;;16E0612;;;;x
Penacova;  12 857;  6 085;  6 772;  1 153;   590;   563;  1 162;   569;   593;;16E0613;;;;x
Penela;  5 524;  2 659;  2 865;   591;   286;   305;   472;   240;   232;;16E0614;;;;x
Soure;  17 121;  8 120;  9 001;  1 716;   899;   817;  1 516;   793;   723;;16E0615;;;;x
Tábua;  11 387;  5 407;  5 980;  1 296;   654;   642;  1 083;   506;   577;;16E0616;;;;x
Vila Nova de Poiares;  7 029;  3 305;  3 724;   788;   378;   410;   673;   348;   325;;16E0617;;;;x
   Região de Leiria;  290 473;  140 173;  150 300;  35 954;  18 474;  17 480;  29 732;  15 301;  14 431;;16F;;;x;
Alvaiázere;  6 281;  2 952;  3 329;   559;   290;   269;   512;   263;   249;;16F1002;;;;x
Ansião;  11 685;  5 583;  6 102;  1 136;   596;   540;  1 155;   574;   581;;16F1003;;;;x
Batalha;  15 991;  7 805;  8 186;  2 220;  1 133;  1 087;  1 656;   852;   804;;16F1004;;;;x
Castanheira de Pêra;  2 679;  1 273;  1 406;   188;   90;   98;   238;   135;   103;;16F1007;;;;x
Figueiró dos Vinhos;  5 210;  2 502;  2 708;   471;   258;   213;   424;   226;   198;;16F1008;;;;x
Leiria;  130 605;  63 057;  67 548;  17 194;  8 833;  8 361;  13 752;  7 133;  6 619;;16F1009;;;;x
Marinha Grande;  39 836;  19 328;  20 508;  5 115;  2 591;  2 524;  4 128;  2 090;  2 038;;16F1010;;;;x
Pedrógão Grande;  3 517;  1 695;  1 822;   281;   147;   134;   313;   162;   151;;16F1013;;;;x
Pombal;  51 133;  24 498;  26 635;  5 884;  3 041;  2 843;  5 065;  2 569;  2 496;;16F1015;;;;x
Porto de Mós;  23 536;  11 480;  12 056;  2 906;  1 495;  1 411;  2 489;  1 297;  1 192;;16F1016;;;;x
   Viseu Dão Lafões;  253 154;  120 246;  132 908;  28 933;  14 842;  14 091;  25 252;  12 909;  12 343;;16G;;;x;
Aguiar da Beira;  5 279;  2 471;  2 808;   428;   215;   213;   441;   233;   208;;16G0901;;;;x
Carregal do Sal;  9 073;  4 270;  4 803;  1 001;   502;   499;   877;   445;   432;;16G1802;;;;x
Castro Daire;  13 595;  6 505;  7 090;  1 267;   649;   618;  1 314;   669;   645;;16G1803;;;;x
Mangualde;  18 302;  8 806;  9 496;  2 050;  1 036;  1 014;  1 786;   947;   839;;16G1806;;;;x
