;;;;;;;;;;;;;;;;;;;;
II.1.1 - Indicadores de população por município, 2022 (continuação);;;;;;;;;;;;;;;;;;;;
II.1.1 - Population indicators by municipality, 2022 (continued);;;;;;;;;;;;;;;;;;;;
;Proporção de casamentos entre portugueses/as e estrangeiros/as;População estrangeira a quem foi concedido título de residência por 100 habitantes;Idade mediana da população residente;Índice de envelhecimento;Índice de renovação da população em idade ativa;Índice de dependência de idosas/os;Índice de longevidade;Relação de masculinidade;Relação de masculinidade dos estrangeiros a quem foi concedido título de residência ;Idade média das mulheres ao nascimento do primeiro filho;Idade média da mulher ao primeiro casamento;Idade média do homem ao primeiro casamento;"Esperança de vida à nascença
?";"Esperança de vida aos 65 anos
?";;;;;;
;%;N.º;;;;;;;;anos;;;;;;;Desagregação Territorial;;;
;2022;;;;;;;;;;;;2020-2022;;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Alcobaça;  21,2;  1,09;  49,0;  223,7;  72,3;  42,3;  49,7;  94,2;  122,3;x;x;x;x;x;;16B1001;;;;x
Alenquer;  6,1;  1,28;  44,2;  135,5;  87,8;  31,3;  49,3;  95,3;  112,9;x;x;x;x;x;;16B1101;;;;x
Arruda dos Vinhos;  7,5;  0,89;  44,0;  119,1;  85,0;  29,0;  50,1;  96,1;  167,3;x;x;x;x;x;;16B1102;;;;x
Bombarral;  46,8;  1,14;  48,6;  217,5;  72,2;  45,2;  47,8;  93,2;  139,1;x;x;x;x;x;;16B1005;;;;x
Cadaval;  20,3;  0,46;  50,2;  250,2;  74,0;  50,0;  51,7;  92,9;  113,3;x;x;x;x;x;;16B1104;;;;x
Caldas da Rainha;  10,8;  1,70;  48,4;  216,6;  72,2;  42,1;  49,8;  90,4;  110,2;x;x;x;x;x;;16B1006;;;;x
Lourinhã;  7,2;  1,33;  47,1;  187,8;  75,0;  41,1;  48,5;  94,4;  145,3;x;x;x;x;x;;16B1108;;;;x
Nazaré;  10,3;  1,46;  48,6;  208,9;  68,0;  43,8;  44,9;  91,9;  100,9;x;x;x;x;x;;16B1011;;;;x
Óbidos;  6,3;  1,46;  48,9;  210,8;  71,3;  43,3;  47,9;  96,4;  132,9;x;x;x;x;x;;16B1012;;;;x
Peniche;  13,0;  1,25;  47,9;  196,7;  68,4;  44,1;  48,9;  92,9;  114,7;x;x;x;x;x;;16B1014;;;;x
Sobral de Monte Agraço;  4,2;  0,85;  44,4;  135,6;  88,1;  31,1;  50,3;  94,7;  104,3;x;x;x;x;x;;16B1112;;;;x
