;;;;;;;;;;;;;;;;;;;;;
II.1.3 - Movimento da população e população estrangeira por município, 2022 (continuação);;;;;;;;;;;;;;;;;;;;;
II.1.3 - Population changes and foreign population by municipality, 2022 (continued);;;;;;;;;;;;;;;;;;;;;
Unidade: N.º;;;;;;;;;;;;;;;Unit: No.;;;;;;
;Casamentos;;;;;;Casamentos dissolvidos;;;População estrangeira a quem foi concedido título de residência;;;População estrangeira com estatuto de residente;;;;;;;;
;Total;Entre pessoas de sexo oposto;;;Entre pessoas do mesmo sexo;;;;;;;;;;;;;;;;
;;Total;dos quais;;Masculino;Feminino;Total;por divórcio;por morte;;;;;;;;;Desagregação Territorial;;;
;;;Só civis;Católicos;;;;;;HM;H;M;HM;H;M;;NUTS_DTMN;NUTS I;NUTS II;NUTS III;Município
Figueiró dos Vinhos;   10;   10;   7;   3;0;0;   47;   6;   41;   18;   9;   9;   298;   153;   145;;16F1008;;;;x
Leiria;   427;   424;   275;   148;   1;   2;   837;   271;   566;  1 519;   765;   754;  8 580;  4 281;  4 299;;16F1009;;;;x
Marinha Grande;   124;   124;   99;   24;0;0;   254;   67;   187;   548;   303;   245;  3 206;  1 745;  1 461;;16F1010;;;;x
Pedrógão Grande;   11;   11;   7;   4;0;0;   31;   4;   27;   107;   61;   46;   662;   347;   315;;16F1013;;;;x
Pombal;   160;   159;   98;   60;   1;0;   390;   93;   297;   322;   181;   141;  2 149;  1 177;   972;;16F1015;;;;x
Porto de Mós;   65;   65;   40;   25;0;0;   162;   38;   124;   197;   101;   96;  1 000;   517;   483;;16F1016;;;;x
   Viseu Dão Lafões;   838;   834;   523;   308;   2;   2;  1 992;   462;  1 530;  1 313;   663;   650;  7 014;  3 570;  3 444;;16G;;;x;
Aguiar da Beira;   29;   29;   8;   21;0;0;   55;   8;   47;   2;   2;0;   45;   26;   19;;16G0901;;;;x
Carregal do Sal;   26;   26;   21;   5;0;0;   58;   10;   48;   36;   16;   20;   237;   115;   122;;16G1802;;;;x
Castro Daire;   44;   43;   26;   17;0;   1;   125;   33;   92;   18;   7;   11;   175;   84;   91;;16G1803;;;;x
